PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
"Mary
FLCV","jett, raze, neon",315,0.94,231.1,1.00,67%,148.7,0.80,0.17,0.22,0.20,33%,26%,5/19,32,252,251,52,69,64
"Petra
G2.G","sova, fade, skye",258,0.94,175.7,1.00,72%,123.7,0.62,0.29,0.05,0.11,25%,25%,5/20,21,161,161,76,12,26
"shyz
TBS","sova, gekko",225,0.93,161.2,0.84,62%,114.8,0.58,0.21,0.04,0.06,31%,10%,5/51,23,131,156,48,10,13
"Boni
Burg","deadlock, gekko, breach",296,0.93,218.9,0.97,68%,137.2,0.76,0.24,0.22,0.16,24%,7%,1/14,25,225,233,70,65,47
"susbake
O1O","killjoy, cypher, viper",273,0.93,196.6,0.89,70%,131.9,0.67,0.26,0.08,0.10,33%,25%,8/32,18,183,206,70,21,28
"Princessicy
Noct","viper, skye, breach",287,0.93,197.8,0.86,60%,132.3,0.71,0.22,0.11,0.13,42%,17%,6/36,27,204,236,62,32,37
"May
NCL.GC","killjoy, viper, clove",232,0.93,170.3,0.94,69%,118.6,0.58,0.21,0.04,0.11,17%,14%,4/28,17,135,144,49,10,26
"Andrehs
AKV.GC","sova, breach, skye",231,0.93,168.3,0.93,74%,111.2,0.61,0.30,0.08,0.06,32%,23%,3/13,20,142,152,70,18,14
"tokyo
ROSE","deadlock, cypher, killjoy",319,0.93,186.9,0.96,68%,122.2,0.68,0.15,0.07,0.07,39%,17%,8/48,19,217,227,49,23,23
"Jesse
BAR","omen, viper, brimstone",277,0.93,182.0,0.90,71%,117.2,0.63,0.29,0.06,0.08,38%,7%,2/30,19,175,194,79,17,22
"Guardy
BAR","breach, kayo, gekko",277,0.93,180.3,0.84,71%,119.5,0.61,0.38,0.06,0.06,27%,10%,3/30,29,170,202,105,17,17
"mxnor
pug","sova, fade, breach",206,0.93,183.7,0.89,74%,117.0,0.65,0.41,0.04,0.11,36%,15%,3/20,21,134,151,84,9,22
"JoXJo
RID","sova, kayo, skye",204,0.92,189.6,0.85,74%,121.4,0.62,0.34,0.08,0.08,27%,20%,4/20,24,126,148,70,16,17
simon,"jett, raze, astra",294,0.92,197.6,0.87,68%,128.2,0.68,0.26,0.11,0.11,24%,14%,6/43,25,200,230,77,31,32
"Cunha20
SAW","astra, viper, omen",231,0.92,182.1,0.89,66%,120.5,0.67,0.30,0.06,0.06,37%,19%,6/32,27,155,175,70,15,14
"Setrexz
DAS","yoru, neon, jett",243,0.92,216.9,0.91,65%,145.7,0.76,0.16,0.19,0.16,29%,13%,3/23,26,184,202,39,46,39
bruninej,"deadlock, omen, yoru",345,0.92,190.8,0.88,67%,126.5,0.68,0.30,0.11,0.13,23%,12%,5/43,22,233,266,102,39,44
"ExciteMVP
WVU","sova, skye",351,0.92,183.3,0.83,71%,124.4,0.61,0.27,0.07,0.05,25%,6%,4/66,23,213,258,95,24,16
"chloric
FOE","raze, sova, viper",288,0.92,191.9,0.94,69%,129.8,0.65,0.22,0.06,0.11,19%,10%,4/41,21,186,197,63,17,33
"Tillo
spec","sova, fade, cypher",272,0.92,172.5,0.82,64%,124.1,0.58,0.25,0.05,0.09,27%,4%,2/54,18,159,194,68,13,24
"SpYzera
TU","gekko, skye, iso",252,0.92,194.0,0.90,69%,126.1,0.67,0.30,0.07,0.10,29%,4%,1/27,23,170,188,75,17,26
"Champzera
GLRS","brimstone, omen, astra",352,0.92,173.7,0.88,72%,115.3,0.61,0.38,0.07,0.07,29%,13%,6/47,28,214,244,134,23,23
"Agr0
BZK","omen, gekko, fade",204,0.92,192.6,0.88,62%,130.9,0.70,0.31,0.08,0.12,36%,13%,4/30,28,143,163,64,16,25
"Jiex
KPI.S","breach, sage, deadlock",323,0.92,184.7,0.85,72%,121.7,0.63,0.43,0.07,0.07,36%,14%,5/37,22,203,239,139,21,23
lyrical,"neon, viper, cypher",278,0.92,203.0,0.85,63%,141.0,0.69,0.22,0.13,0.14,23%,13%,5/38,28,193,227,60,37,39
"monSi
BLIN","viper, sova, harbor",267,0.91,172.2,0.86,70%,110.5,0.57,0.34,0.07,0.07,23%,17%,5/29,20,152,177,91,18,20
"aproto
TSM","deadlock, cypher, viper",348,0.91,160.9,0.85,70%,110.2,0.57,0.23,0.05,0.05,36%,16%,10/62,23,198,234,80,16,17
"atlas
BLIN","breach, kayo, cypher",281,0.91,200.0,0.91,68%,129.5,0.69,0.34,0.08,0.10,19%,10%,3/29,23,194,214,96,22,29
"Urango
GLRS","gekko, breach, sage",380,0.91,184.8,0.87,70%,122.7,0.63,0.34,0.06,0.10,30%,7%,2/29,25,240,275,130,21,37
"lz
2G","brimstone, omen, viper",466,0.91,173.4,0.90,71%,109.6,0.61,0.29,0.09,0.10,37%,15%,6/40,21,284,314,135,44,47
"tinchoff
AK","cypher, killjoy",448,0.91,164.5,0.91,69%,109.2,0.60,0.21,0.09,0.10,36%,14%,8/58,24,271,299,95,41,46
"Havex
Shif","sova, fade",255,0.91,177.8,0.84,68%,124.2,0.62,0.30,0.05,0.07,35%,13%,4/31,20,157,186,77,13,19
"Ginilson
KG","killjoy, chamber, viper",345,0.91,194.1,0.90,65%,132.6,0.69,0.23,0.07,0.13,30%,14%,6/42,28,237,263,78,25,44
"sawamura
SISU","neon, jett, omen",240,0.91,172.2,0.90,68%,116.4,0.65,0.19,0.11,0.13,42%,35%,7/20,24,155,172,45,27,30
"Vixtur
DXG","killjoy, cypher, vyse",268,0.91,184.8,0.81,66%,124.5,0.64,0.31,0.03,0.07,24%,12%,6/52,20,171,212,82,9,20
"nati
LEV.GC","omen, sova, killjoy",315,0.91,171.9,0.92,68%,114.1,0.63,0.21,0.05,0.06,42%,13%,6/45,21,199,217,65,15,18
"Dinxx
WVU","jett, neon, raze",284,0.90,203.3,0.92,65%,134.7,0.71,0.18,0.17,0.20,30%,17%,3/18,22,201,219,52,48,58
"JohnOlsen
FS","neon, jett, raze",246,0.90,214.5,0.95,62%,142.1,0.74,0.22,0.17,0.22,25%,8%,1/13,26,183,193,53,42,53
"A77
WVU","sova, killjoy, cypher",329,0.90,185.9,0.87,67%,124.2,0.65,0.22,0.06,0.07,28%,11%,7/66,23,213,244,74,19,24
devy,"raze, jett, reyna",333,0.90,209.0,0.90,67%,137.2,0.72,0.20,0.17,0.15,29%,15%,5/33,23,239,266,66,55,50
"sambae
Wook","fade, sova, kayo",222,0.90,178.0,0.87,67%,118.0,0.62,0.26,0.05,0.06,39%,11%,4/38,18,138,159,58,11,13
"calsushi
TDY","sova, fade, brimstone",211,0.90,188.2,0.85,70%,126.0,0.66,0.25,0.08,0.04,30%,13%,3/24,26,139,163,52,16,9
"GaryDaSnail
Non-","killjoy, cypher, deadlock",268,0.90,191.5,0.84,61%,128.6,0.66,0.18,0.06,0.06,32%,2%,1/56,18,178,211,49,17,16
"jademwah
O1O","omen, brimstone, breach",273,0.90,194.5,0.86,64%,123.2,0.66,0.41,0.08,0.13,21%,11%,5/45,19,181,211,113,22,35
"maniek
BAR","neon, jett, yoru",277,0.89,213.9,0.96,62%,138.4,0.75,0.18,0.17,0.22,24%,8%,2/24,25,207,215,50,46,62
"PepegaPig
DawN","jett, killjoy, viper",278,0.89,186.7,0.94,68%,121.1,0.67,0.21,0.08,0.09,23%,18%,8/44,19,186,198,59,21,25
"cuteasa
RTL","yoru, reyna, deadlock",279,0.89,194.6,0.89,67%,128.6,0.69,0.18,0.09,0.12,19%,20%,7/35,22,193,218,51,25,33
"Matt
Burg","gekko, killjoy, kayo",436,0.89,165.0,0.83,68%,109.1,0.58,0.26,0.07,0.10,23%,18%,11/60,24,254,305,114,29,44
"riv
RF.GC","gekko, cypher, deadlock",307,0.88,161.5,0.80,72%,100.6,0.56,0.35,0.06,0.09,27%,26%,6/23,19,173,217,106,19,28
"panday
KS","breach, cypher, yoru",253,0.88,170.2,0.91,74%,113.7,0.61,0.27,0.07,0.09,31%,15%,4/27,20,154,169,69,18,24
"Tura
FSX","clove, omen, astra",371,0.88,171.8,0.81,74%,113.0,0.59,0.45,0.07,0.10,28%,11%,4/36,23,220,271,166,26,36
"Rosé
PCF","sova, breach, fade",454,0.88,163.1,0.86,68%,111.8,0.58,0.27,0.07,0.07,28%,34%,13/38,19,262,304,123,34,32
"FireBallOps
0","deadlock, cypher, killjoy",279,0.88,178.0,0.90,65%,123.4,0.65,0.16,0.06,0.10,36%,16%,8/49,23,181,201,46,17,29
"crona
DAS","breach, sova, cypher",208,0.88,170.9,0.79,67%,110.3,0.61,0.39,0.05,0.06,31%,3%,1/36,19,126,159,82,11,13
"tex
LEV","gekko, cypher, killjoy",362,0.88,196.9,0.92,68%,131.5,0.70,0.18,0.13,0.14,33%,13%,4/30,26,252,275,65,47,51
"Leviathan
FS","omen, viper",246,0.88,166.2,0.82,68%,107.3,0.59,0.39,0.07,0.07,31%,23%,9/39,17,144,175,95,17,16
"Addicted
SAW","sova, gekko",231,0.88,159.7,0.79,65%,116.5,0.58,0.26,0.06,0.06,34%,14%,5/37,29,134,169,61,13,15
"hieu
YDZ","jett, raze, iso",228,0.87,204.2,0.86,63%,139.7,0.70,0.23,0.14,0.21,32%,33%,4/12,25,160,185,52,32,47
casuaL,"viper, killjoy, breach",390,0.87,174.6,0.81,69%,117.4,0.60,0.35,0.05,0.11,29%,3%,1/33,25,234,289,137,21,44
"Moechilla
STORM","deadlock, omen, astra",245,0.87,162.3,0.85,68%,107.1,0.58,0.31,0.07,0.10,23%,13%,5/40,16,142,168,77,17,24
aco,"breach, kayo, skye",217,0.87,165.0,0.75,74%,102.4,0.56,0.59,0.08,0.08,21%,6%,1/18,18,122,162,127,17,18
rivfps,"killjoy, cypher, vyse",294,0.87,183.0,0.87,57%,119.3,0.67,0.19,0.09,0.13,28%,20%,10/51,21,197,226,56,26,38
"practo
AKM","viper, skye, breach",232,0.87,180.3,0.79,67%,121.8,0.64,0.27,0.08,0.08,36%,9%,3/34,20,148,187,63,18,19
"richie
Thug","deadlock, cypher, viper",210,0.87,167.9,0.86,65%,117.3,0.63,0.16,0.06,0.06,31%,18%,5/28,26,132,154,33,13,13
"caydeN
DSY","omen, sage",206,0.87,161.3,0.78,70%,108.9,0.54,0.43,0.08,0.07,26%,12%,3/25,17,111,142,88,17,15
